Year;Economy;Economy Label;Flow;Flow Label;Direction;Direction Label;US$ at current prices in millions;US$ at current prices in millions Footnote;US$ at current prices in millions Missing value;US$ at current prices per capita;US$ at current prices per capita Footnote;US$ at current prices per capita Missing value;Percentage of total world;Percentage of total world Footnote;Percentage of total world Missing value;Percentage of Gross Domestic Product;Percentage of Gross Domestic Product Footnote;Percentage of Gross Domestic Product Missing value;Percentage of Gross Fixed Capital Formation;Percentage of Gross Fixed Capital Formation Footnote;Percentage of Gross Fixed Capital Formation Missing value
1990;31;Azerbaijan;8;Flow;2;Outward;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable
1990;31;Azerbaijan;9;Stock;1;Inward;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable
1990;31;Azerbaijan;9;Stock;2;Outward;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable
1990;44;Bahamas;8;Flow;1;Inward;-17;;;-63;;;0;;;0;;;-2;;
1990;44;Bahamas;8;Flow;2;Outward;0;;;0;;;0;;;0;;;0;;
1990;44;Bahamas;9;Stock;1;Inward;586;;;2123;;;0;;;12;;;59;;
1990;48;Bahrain;8;Flow;1;Inward;-183;;;-355;;;0;;;-4;;;-16;;
1990;48;Bahrain;8;Flow;2;Outward;25;;;49;;;0;;;1;;;2;;
1990;48;Bahrain;9;Stock;1;Inward;552;;;1071;;;0;;;11;;;48;;
1990;48;Bahrain;9;Stock;2;Outward;719;;;1397;;;0;;;15;;;63;;
1990;50;Bangladesh;8;Flow;1;Inward;3;;;0;;;0;;;0;;;0;;
1990;50;Bangladesh;8;Flow;2;Outward;1;;;0;;;0;;;0;;;0;;
1990;50;Bangladesh;9;Stock;1;Inward;477;;;4;;;0;;;2;;;8;;
1990;50;Bangladesh;9;Stock;2;Outward;45;;;0;;;0;;;0;;;1;;
1990;52;Barbados;8;Flow;1;Inward;11;;;43;;;0;;;1;;;4;;
1990;52;Barbados;8;Flow;2;Outward;1;;;5;;;0;;;0;;;0;;
1990;52;Barbados;9;Stock;1;Inward;171;;;663;;;0;;;8;;;56;;
1990;52;Barbados;9;Stock;2;Outward;23;;;90;;;0;;;1;;;8;;
1990;112;Belarus;8;Flow;1;Inward;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable
1990;112;Belarus;8;Flow;2;Outward;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable
1990;112;Belarus;9;Stock;1;Inward;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable
1990;112;Belarus;9;Stock;2;Outward;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable
1990;56;Belgium;8;Flow;1;Inward;8047;;;808;;;4;;;4;;;16;;
1990;56;Belgium;8;Flow;2;Outward;6314;;;634;;;3;;;3;;;13;;
1990;56;Belgium;9;Stock;1;Inward;58388;;;5862;;;3;;;28;;;119;;
1990;56;Belgium;9;Stock;2;Outward;40636;;;4080;;;2;;;20;;;82;;
1990;84;Belize;8;Flow;1;Inward;19;;;104;;;0;;;3;;;16;;
1990;84;Belize;8;Flow;2;Outward;2;;;10;;;0;;;0;;;1;;
1990;84;Belize;9;Stock;1;Inward;89;;;487;;;0;;;16;;;74;;
1990;84;Belize;9;Stock;2;Outward;20;;;109;;;0;;;4;;;17;;
1990;204;Benin;8;Flow;1;Inward;62;;;12;;;0;;;3;;;25;;
1990;204;Benin;8;Flow;2;Outward;0;;;0;;;0;;;0;;;0;;
1990;204;Benin;9;Stock;1;Inward;;;Negative accumulation of flows;;;;;;;;;;;;
1990;204;Benin;9;Stock;2;Outward;2;;;0;;;0;;;0;;;1;;
1990;64;Bhutan;8;Flow;1;Inward;2;;;3;;;0;;;1;;;2;;
1990;64;Bhutan;9;Stock;1;Inward;2;;;3;;;0;;;1;;;2;;
1990;68;Bolivia (Plurinational State of);8;Flow;1;Inward;67;;;9;;;0;;;1;;;11;;
1990;68;Bolivia (Plurinational State of);8;Flow;2;Outward;1;;;0;;;0;;;0;;;0;;
1990;68;Bolivia (Plurinational State of);9;Stock;1;Inward;1026;;;144;;;0;;;21;;;168;;
1990;68;Bolivia (Plurinational State of);9;Stock;2;Outward;7;;;1;;;0;;;0;;;1;;
1990;70;Bosnia and Herzegovina;8;Flow;1;Inward;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable
1990;70;Bosnia and Herzegovina;8;Flow;2;Outward;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable
1990;70;Bosnia and Herzegovina;9;Stock;1;Inward;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable
1990;70;Bosnia and Herzegovina;9;Stock;2;Outward;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable
1990;72;Botswana;8;Flow;1;Inward;96;;;73;;;0;;;3;;;8;;
1990;72;Botswana;8;Flow;2;Outward;7;;;6;;;0;;;0;;;1;;
1990;72;Botswana;9;Stock;1;Inward;1309;;;1003;;;0;;;35;;;107;;
1990;72;Botswana;9;Stock;2;Outward;447;;;343;;;0;;;12;;;37;;
1990;76;Brazil;8;Flow;1;Inward;989;;;7;;;0;;;0;;;1;;
1990;76;Brazil;8;Flow;2;Outward;625;;;4;;;0;;;0;;;1;;
1990;76;Brazil;9;Stock;1;Inward;37143;;;249;;;2;;;9;;;41;;
1990;76;Brazil;9;Stock;2;Outward;41044;;;275;;;2;;;10;;;45;;
1990;92;British Virgin Islands;8;Flow;1;Inward;18;;;1168;;;0;;;15;;;63;;
1990;92;British Virgin Islands;8;Flow;2;Outward;-2520;;;-160443;;;-1;;;-2102;;;-8623;;
1990;92;British Virgin Islands;9;Stock;1;Inward;126;;;8018;;;0;;;105;;;431;;
1990;92;British Virgin Islands;9;Stock;2;Outward;875;;;55719;;;0;;;730;;;2994;;
1990;96;Brunei Darussalam;8;Flow;1;Inward;7;;;27;;;0;;;0;;;1;;
1990;96;Brunei Darussalam;9;Stock;1;Inward;33;;;130;;;0;;;1;;;3;;
1990;100;Bulgaria;8;Flow;1;Inward;4;;;0;;;0;;;0;;;0;;
1990;100;Bulgaria;8;Flow;2;Outward;-3;;;0;;;0;;;0;;;0;;
1990;100;Bulgaria;9;Stock;1;Inward;112;;;13;;;0;;;1;;;3;;
1990;100;Bulgaria;9;Stock;2;Outward;124;;;14;;;0;;;1;;;3;;
1990;854;Burkina Faso;8;Flow;1;Inward;0;;;0;;;0;;;0;;;0;;
1990;854;Burkina Faso;8;Flow;2;Outward;-1;;;0;;;0;;;0;;;0;;
1990;854;Burkina Faso;9;Stock;1;Inward;39;;;4;;;0;;;1;;;6;;
1990;854;Burkina Faso;9;Stock;2;Outward;4;;;0;;;0;;;0;;;1;;
1990;108;Burundi;8;Flow;1;Inward;1;;;0;;;0;;;0;;;1;;
1990;108;Burundi;8;Flow;2;Outward;0;;;0;;;0;;;0;;;0;;
1990;108;Burundi;9;Stock;1;Inward;30;;;5;;;0;;;3;;;16;;
1990;108;Burundi;9;Stock;2;Outward;0;;;0;;;0;;;0;;;0;;
